toban,class_rank,entry_rate_1,entry_rate_2,entry_rate_3,entry_rate_4,entry_rate_5,entry_rate_6,win3_rate_1,win3_rate_2,win3_rate_3,win3_rate_4,win3_rate_5,win3_rate_6,avg_st_1,avg_st_2,avg_st_3,avg_st_4,avg_st_5,avg_st_6,start_order_1,start_order_2,start_order_3,start_order_4,start_order_5,start_order_6
3578,B1,16.2,16.2,17.2,19.2,17.2,14.1,56.2,43.8,41.2,31.6,47.1,0.0,0.21,0.19,0.19,0.2,0.17,0.17,3.7,3.4,3.5,3.6,3.1,4.1
3579,B1,16.7,17.9,21.8,16.7,11.5,15.4,84.6,64.3,52.9,38.5,33.3,0.0,0.18,0.15,0.13,0.17,0.16,0.17,3.5,3.6,3.1,3.7,2.9,3.9
3581,B1,15.7,18.5,17.6,15.7,20.4,12.0,70.6,50.0,42.1,35.3,36.4,7.7,0.16,0.22,0.21,0.16,0.19,0.18,2.6,4.4,4.3,3.8,3.1,4.1
3582,A2,17.9,33.6,33.6,14.9,0.0,0.0,87.5,51.1,71.1,40.0,0.0,0.0,0.16,0.16,0.14,0.17,0.0,0.0,3.0,3.5,3.0,3.2,0.0,0.0
3583,B1,15.4,15.4,16.5,20.9,15.4,16.5,57.1,28.6,20.0,5.3,21.4,20.0,0.19,0.2,0.19,0.2,0.14,0.15,3.5,4.6,4.1,3.6,2.9,3.0
3584,B1,14.5,21.8,18.2,14.5,20.9,10.0,56.2,45.8,35.0,68.8,34.8,36.4,0.18,0.19,0.16,0.16,0.17,0.17,4.2,3.8,3.5,3.1,3.6,4.3
3589,B1,13.5,23.6,12.4,16.9,21.3,12.4,66.7,47.6,45.5,26.7,21.1,9.1,0.18,0.16,0.18,0.14,0.14,0.21,3.6,3.6,4.1,2.4,2.6,4.4
3590,A1,23.9,14.1,20.4,19.0,13.4,9.2,88.2,70.0,69.0,63.0,68.4,38.5,0.13,0.13,0.12,0.12,0.15,0.17,3.1,3.5,2.7,2.7,3.4,4.1
3591,B2,14.8,19.7,18.0,18.0,18.0,11.5,22.2,33.3,18.2,9.1,9.1,14.3,0.14,0.17,0.15,0.2,0.2,0.17,3.2,3.7,3.1,4.7,4.0,4.1
3593,,,,,,,,,,,,,,,,,,,,,,,,,
3596,B1,15.1,19.4,19.4,11.8,20.4,14.0,78.6,61.1,27.8,36.4,10.5,15.4,0.18,0.18,0.15,0.17,0.18,0.19,3.7,2.9,3.3,3.5,3.7,4.5
3600,,,,,,,,,,,,,,,,,,,,,,,,,
3602,B1,17.0,17.0,15.0,15.0,18.0,18.0,70.6,58.8,33.3,53.3,27.8,33.3,0.17,0.15,0.19,0.18,0.18,0.18,3.0,3.1,3.2,3.1,3.9,4.1
3604,B1,14.3,20.9,17.6,12.1,19.8,15.4,69.2,15.8,37.5,27.3,16.7,0.0,0.17,0.23,0.19,0.15,0.19,0.22,3.5,5.1,4.2,2.8,4.4,5.1
3605,B1,15.7,15.7,19.1,13.5,23.6,12.4,64.3,28.6,35.3,58.3,28.6,0.0,0.17,0.19,0.19,0.17,0.16,0.22,3.2,4.3,3.8,4.1,3.3,4.8
3606,B1,21.8,15.3,15.3,15.3,15.3,16.9,85.2,68.4,52.6,47.4,36.8,9.5,0.18,0.15,0.15,0.19,0.17,0.23,3.3,3.5,3.1,3.5,3.4,4.6
3611,A2,21.8,15.8,17.8,15.8,17.8,10.9,86.4,56.2,61.1,50.0,38.9,36.4,0.15,0.15,0.14,0.13,0.14,0.14,3.0,3.4,2.8,2.8,3.1,3.5
3618,A1,20.7,14.4,18.0,17.1,16.2,13.5,91.3,87.5,65.0,63.2,33.3,33.3,0.15,0.15,0.13,0.15,0.2,0.19,3.3,3.1,2.7,3.3,3.4,4.1
3619,B1,17.6,21.0,16.8,12.6,15.1,16.8,81.0,68.0,45.0,46.7,27.8,15.0,0.17,0.18,0.19,0.18,0.2,0.19,3.7,4.2,4.3,4.4,4.9,4.8
3621,B1,18.5,12.6,18.5,17.6,14.3,18.5,86.4,60.0,50.0,57.1,17.6,18.2,0.18,0.2,0.19,0.15,0.14,0.2,2.5,4.1,3.7,3.0,2.7,5.1
3623,A1,27.9,61.5,10.7,0.0,0.0,0.0,94.1,68.0,100.0,0.0,0.0,0.0,0.13,0.14,0.14,0.0,0.0,0.0,2.7,2.7,2.4,0.0,0.0,0.0
3624,,,,,,,,,,,,,,,,,,,,,,,,,
3627,A2,18.9,18.9,21.2,24.2,9.8,6.8,92.0,56.0,60.7,56.2,46.2,0.0,0.17,0.2,0.16,0.18,0.19,0.22,3.2,3.9,3.6,3.3,3.5,4.4
3629,A2,20.0,17.8,20.0,20.0,13.3,8.9,92.6,66.7,63.0,63.0,38.9,33.3,0.14,0.14,0.12,0.14,0.13,0.18,2.9,3.0,2.1,2.0,1.9,3.2
3631,B1,12.1,18.2,13.6,16.7,21.2,18.2,75.0,16.7,33.3,27.3,21.4,16.7,0.16,0.16,0.11,0.15,0.14,0.16,4.0,4.1,2.4,3.6,3.1,3.2
3635,B1,17.2,14.8,13.9,12.3,18.0,23.8,76.2,77.8,58.8,53.3,36.4,27.6,0.15,0.15,0.12,0.14,0.15,0.2,2.8,2.4,2.9,3.1,3.1,4.7
3641,A2,19.8,18.2,15.7,19.0,15.7,11.6,75.0,72.7,63.2,56.5,31.6,50.0,0.15,0.17,0.15,0.17,0.18,0.14,3.0,3.7,3.3,3.0,2.9,3.4
